name,category,details_url,rating_stars,address,opening_status,corona_status,email,phone,website,book_a_table
Au Parc Hôtel,"Hotel, Restaurant, Conference facilities, Banquet",https://www.local.ch/en/d/fribourg/1700/hotel/au-parc-hotel-oJOXG7mdaVAflwY6W-PzwA?dwhat=Restaurant&dwhere=Switzerland,3.5,"Route de Villars 37, 1700 Fribourg",,,info@auparc-hotel.ch,026 429 56 56,http://www.auparc-hotel.ch,
Casa Ferlin,"Restaurant, Italian cuisine, Restaurants according to speciality",https://www.local.ch/en/d/zuerich/8006/restaurant/casa-ferlin-GXvPAor1ifNfpF0U5PTG0w?dwhat=Restaurant&dwhere=Switzerland,4.8,"Stampfenbachstrasse 38, 8006 Zürich",Currently closed,,,044 362 35 09,http://www.casaferlin.ch,
Croix-Verte,"Restaurant, Pizzeria, Italian cuisine, Restaurants according to speciality, Takeout",https://www.local.ch/en/d/nyon/1260/restaurant/croix-verte-46U64QUgR066MQt4eGdLyw?dwhat=Restaurant&dwhere=Switzerland,4.2,"Rue Perdtemps 7, 1260 Nyon",Currently closed,,croixvertenyon@gmail.com,022 361 15 39,http://www.croixverte.ch,
Dans la Forêt Lointaine,Restaurant,https://www.local.ch/en/d/vaulruz/1627/restaurant/dans-la-foret-lointaine-xcaoXBmuMyFFEcFDSgNgDQ?dwhat=Restaurant&dwhere=Switzerland,4.7,"Grand-Rue 96A, 1627 Vaulruz",Currently closed,,,026 913 78 21,http://www.danslaforetlointaine.ch,
de la Croix-Verte,"Restaurant, Banquet, Seminar, Wedding",https://www.local.ch/en/d/echarlens/1646/restaurant/de-la-croix-verte-LzslTp9i1Er_aO-LlEeWyA?dwhat=Restaurant&dwhere=Switzerland,4.5,"Route du Village 1, 1646 Echarlens",,,info@croix-verte.ch,026 915 15 15,http://www.croix-verte.ch,http://www.restaurant-echarlens.com/grillades-au-feu-de-bois-echarlens-gruyere
Hôtel LakeView Le Rivage Lutry-Lausanne,"Hotel, Restaurant, Conference facilities, Tourist Information, Holidays, Banquet, Conference Hotels",https://www.local.ch/en/d/lutry/1095/hotel/hotel-lakeview-le-rivage-lutry-lausanne-iNdyinhdpMx0jKVAnoWD5g?dwhat=Restaurant&dwhere=Switzerland,4.6,"Grand-Rue 36, 1095 Lutry",Open now until 23:30,,info@hotelrivagelutry.ch,021 796 72 72,https://www.rivagelutry.ch,
Hotel Pestalozzi Lugano,"Banquet, Hotel, Restaurant",https://www.local.ch/en/d/lugano/6900/banquet/hotel-pestalozzi-lugano-QWPFzbnnzuUe9kRhf-Rw7A?dwhat=Restaurant&dwhere=Switzerland,4.4,"Piazza dell'Indipendenza 9, 6900 Lugano",Open now until 23:00,,info@pestalozzi-lugano.ch,091 921 46 46,http://www.pestalozzi-lugano.ch,
Restaurant Alten Löwen,"Restaurant, Swiss cuisine, Restaurants according to speciality, Italian cuisine, Midday table",https://www.local.ch/en/d/zuerich/8006/restaurant/restaurant-alten-loewen-c7cMiFxw1uc9_3UnmxjYrw?dwhat=Restaurant&dwhere=Switzerland,4.3,"Universitätstrasse 111, 8006 Zürich",Currently closed,,info@altenloewen.ch,043 343 11 69,http://www.altenloewen.ch,https://altenloewen.ch/reservation
Bellevue,"Pizzeria, Hotel, Restaurant",https://www.local.ch/en/d/saignelegier/2350/pizzeria/bellevue-IUb0Ph2nsTu0UEh1F8doHQ?dwhat=Restaurant&dwhere=Switzerland,4.3,"Rue de la Gruère 13, 2350 Saignelégier",Currently closed,,info@hotel-le-bellevue.ch,032 951 16 20,http://www.hotel-le-bellevue.ch,https://www.hotels-saignelegier.ch/contact
Buffet de la Gare de Céligny,"Restaurant, French cuisine, Restaurants according to speciality",https://www.local.ch/en/d/celigny/1298/restaurant/buffet-de-la-gare-de-celigny-uIUqw5RkCgLLbXT33gyfkg?dwhat=Restaurant&dwhere=Switzerland,5.0,"Route de Founex 25, 1298 Céligny",Currently closed,,info@buffet-gare-celigny.ch,022 776 27 70,http://www.buffet-gare-celigny.ch,http://www.buffet-gare-celigny.ch/filets-de-perches-geneve
FOODCORNER EBIKON,"Kebab Döner, Pizza Take Away",https://www.local.ch/en/d/ebikon/6030/kebab-doener/foodcorner-ebikon-vC05URH2C3jRlxbdtX7heg?dwhat=Kebab%2C+D%C3%B6ner&dwhere=Switzerland,5.0,"Zentralstrasse 2, 6030 Ebikon",Currently closed,,,041 489 08 08,http://www.food-corner-ebikon.ch,
Le Blandonnet Pizzeria pizza et kebab à l'emporter,"Restaurant, Kebab Döner, Pizzeria, Home delivery service",https://www.local.ch/en/d/vernier/1214/restaurant/le-blandonnet-pizzeria-pizza-et-kebab-a-l-emporter-unlB1CrBfs-95oEE3rL1eA?dwhat=Kebab%2C+D%C3%B6ner&dwhere=Switzerland,4.8,"Chemin des Coquelicots 1, 1214 Vernier",Currently closed,,Leblandonnet@gmail.com,022 341 35 90,http://www.leblandonnet.ch,https://www.leblandonnet.ch/contact1
New Point,"Restaurant, Kebab Döner, Pizza Take Away, Oriental cuisine, Restaurants according to speciality",https://www.local.ch/en/d/zuerich/8004/restaurant/new-point-aF-xIUpHgSOsoRM-QA73hw?dwhat=Kebab%2C+D%C3%B6ner&dwhere=Switzerland,3.0,"Albisriederplatz 5, 8004 Zürich",,,,043 311 12 12,http://www.new-points.ch,
Restraurant Alaturka,"Restaurant, Pizza Take Away, Kebab Döner, Home delivery service, Pizza delivery",https://www.local.ch/en/d/frauenfeld/8500/restaurant/restraurant-alaturka-rHehSN_AhDz1IL5A2FyJxQ?dwhat=Kebab%2C+D%C3%B6ner&dwhere=Switzerland,3.3,"Bahnhofstrasse 52, 8500 Frauenfeld",Currently closed,,,052 721 05 09,https://www.alaturka-frauenfeld.ch,
Café-Restaurant le Margueron,"Restaurant, Pub",https://www.local.ch/en/d/vercorin/3967/restaurant/cafe-restaurant-le-margueron-pFt1Ixpe07bMduOQ3nleSA?dwhat=Pub&dwhere=Switzerland,5.0,"Route d'Anniviers 6, 3967 Vercorin",Currently closed,,pth.pontarlier@gmail.com,027 455 55 93,,
Republic Zermatt,"Bar, Pub",https://www.local.ch/en/d/zermatt/3920/bar/republic-zermatt-1UxEq7xKTFHYV3lLOrBzDg?dwhat=Pub&dwhere=Switzerland,5.0,"Brantschenhaus 18, 3920 Zermatt",,,,027 967 26 26,http://www.republic-zermatt.ch,
soho,"Bar, Restaurant, Lounge, Pub, Cafés, Club, Events",https://www.local.ch/en/d/basel/4051/bar/soho-Us-exKgKdlfKduazD4FfEA?dwhat=Pub&dwhere=Switzerland,4.4,"Steinenvorstadt 54, 4051 Basel",Currently closed,,info@sohobasel.ch,061 535 55 01,https://www.sohobasel.ch,
Dos Amigos,"Bar, Pub",https://www.local.ch/en/d/oberbuchsiten/4625/bar/dos-amigos-zIOyBPBqSPHR4Wdp7nRTkA?dwhat=Pub&dwhere=Switzerland,4.9,"Bahnhofplatz 2, 4625 Oberbuchsiten",Currently closed,,,,http://www.dosamigos.ch,
Shamrock Irish Pub,"Restaurant, Pub, Bar",https://www.local.ch/en/d/zuerich/8038/restaurant/shamrock-irish-pub-nOrmUgn0CexqiVfwq6pcJA?dwhat=Pub&dwhere=Switzerland,4.7,"Studackerstrasse 1, 8038 Zürich",Currently closed,,,,https://www.shamrockirishpub-zurich.com,
The Dugout Sports Bar,"Bar, Pub",https://www.local.ch/en/d/sion/1950/bar/the-dugout-sports-bar-2RjQwxaMcFNNxq7oJ8ED6g?dwhat=Pub&dwhere=Switzerland,5.0,"Rue du Scex 5, 1950 Sion",Currently closed,,,,http://www.thedugout.ch,
Borenco,"Pizzeria, Restaurant, Pizza Take Away, Bakery pastry shop, Ice cream parlors, Tea room",https://www.local.ch/en/d/minusio/6648/pizzeria/borenco-wr0Filu_1uikL77rrTT5Tw?dwhat=Tea+room&dwhere=Switzerland,4.5,"Via San Gottardo 56, 6648 Minusio",Currently closed,,,091 743 44 67,http://www.ristoranteborenco.ch,http://www.ristoranteborenco.ch
Fleur de Pains SA,"Bakery pastry shop, Tea room",https://www.local.ch/en/d/lausanne/1006/bakery-pastry-shop/fleur-de-pains-sa-ugpyBEFS3w_aaUvJcKnLxg?dwhat=Tea+room&dwhere=Switzerland,4.8,"Avenue de Jurigoz 17, 1006 Lausanne",Open now until 17:00,,,021 613 80 66,http://www.fleurdepains.ch,http://www.fleurdepains.ch/contact
Gassler-Beck AG,"Bakery pastry shop, Tea room, Cafés",https://www.local.ch/en/d/lengnau-be/2543/bakery-pastry-shop/gassler-beck-ag-jFdHuDdKz88W98TkzLuI9A?dwhat=Tea+room&dwhere=Switzerland,,"Solothurnstrasse 3, 2543 Lengnau BE",Currently closed,,,032 652 14 82,http://www.gasslerbeck.ch,https://www.gasslerbeck.ch/kontakt
le Tiguelet,"Tea room, Restaurant",https://www.local.ch/en/d/belfaux/1782/tea-room/le-tiguelet--AgPE22YhfYp6C4NOI7jjw?dwhat=Tea+room&dwhere=Switzerland,4.5,"Route du Centre 3, 1782 Belfaux",Open now until 18:00,,skacorov@gmail.com,026 475 11 11,http://www.restaurant-tiguelet.ch,
Parrat David,"Bakery pastry shop, Chocolate, Tea room, Pastry shop",https://www.local.ch/en/d/saignelegier/2350/bakery-pastry-shop/parrat-david-9a5dC8Tqbtt-HROc9YYLTA?dwhat=Tea+room&dwhere=Switzerland,4.5,"Rue de l'Hôpital 17, 2350 Saignelégier",Open now until 17:30,,,032 951 11 86,http://www.parratartisan.com,http://www.parratartisan.com/contact
Peverelli Gianfranco,"Bakery pastry shop, Tea room, Takeout, Ice cream products, Chocolate, Restaurant, Catering",https://www.local.ch/en/d/bellinzona/6500/bakery-pastry-shop/peverelli-gianfranco-iDAGmpM0p1TNFkLN-Pjz2A?dwhat=Tea+room&dwhere=Switzerland,4.7,"Via al Maglio 7, 6500 Bellinzona",Open now until 18:00,,,091 829 20 75,http://www.panetteriapeverelli.com,http://www.panetteriapeverelli.ch/Contatti.htm
Venus et Rose English Tearoom,"Tea room, Bakery pastry shop",https://www.local.ch/en/d/st-triphon/1867/tea-room/venus-et-rose-english-tearoom-DNmGK1hu7VHhbWbncfwAPA?dwhat=Tea+room&dwhere=Switzerland,5.0,1867 St-Triphon,Currently closed,,mcerusini@bluewin.ch,079 752 21 47,http://www.venus-rose-tearoom.ch,https://BookWorkshop.as.me
Confiserie Hedinger,"Tea room, Pastry shop, Confectioners, Chocolate, Caterer, Tea",https://www.local.ch/en/d/aigle/1860/tea-room/confiserie-hedinger-5iopTuvN6aDQCuoWDRbjOw?dwhat=Tea+room&dwhere=Switzerland,4.9,"Rue Colomb 3, 1860 Aigle",Open now until 18:00,,hedinger@perso.ch,,http://www.confiserie-hedinger.ch,
Wolfisberg SA,"Bakery pastry shop, Restaurant, Tea room",https://www.local.ch/en/d/carouge-ge/1227/bakery-pastry-shop/wolfisberg-sa-JC96iudvo1H9AlJGTcs4Rg?dwhat=Tea+room&dwhere=Switzerland,3.8,"Place du Temple 5, 1227 Carouge GE",Open now until 19:00,,,,https://www.wolfisberg.org,
Bärengasse Restaurant,"Argentine cuisine, Restaurants according to speciality, Steakhouse, Restaurant",https://www.local.ch/en/d/zuerich/8001/argentine-cuisine/baerengasse-restaurant-renz3HWMUycJbXa9tcHU6w?dwhat=Steakhouse&dwhere=Switzerland,4.8,"Bahnhofstrasse 25, 8001 Zürich",Currently closed,,reservation@restaurant-baerengasse.ch,044 210 08 08,http://www.restaurant-baerengasse.ch,https://foratable.com/reserve/restaurant/774157c8bab7bc2d9e671803af5ea3be
Benny's Steakhouse,"Restaurant, Steakhouse, Restaurants according to speciality",https://www.local.ch/en/d/wohlen-ag/5610/restaurant/benny-s-steakhouse-YNw9Rlb4Fc9WvpNeluaIoA?dwhat=Steakhouse&dwhere=Switzerland,4.9,"Frohburgstrasse 1, 5610 Wohlen AG",Open now until 22:00,,info@baschag.ch,056 610 74 52,http://www.bennys-steakhouse.ch,
Café-Restaurant Le Vieux-Chalet,"Restaurant, Steakhouse, Restaurants according to speciality",https://www.local.ch/en/d/champery/1874/restaurant/cafe-restaurant-le-vieux-chalet-4tOYz0kMKcjWlPjz_8zJ_A?dwhat=Steakhouse&dwhere=Switzerland,4.4,"Rue du Village 116, 1874 Champéry",Currently closed,,,024 479 19 74,http://www.vieuxchaletchampery.ch,
Chez Gaby,"Restaurant, Steakhouse, Restaurants according to speciality",https://www.local.ch/en/d/zermatt/3920/restaurant/chez-gaby-CI5FcAgF-Ci7_VQRK4d19w?dwhat=Steakhouse&dwhere=Switzerland,4.6,"Kirchstrasse 12, 3920 Zermatt",Currently closed,,,027 967 31 34,http://www.zumtaugwald.ch,
